,Compound,Date,Negative,Neutral,Positive,Tweets Ago,Username
49,0.4404,Sat Sep 15 17:49:36 +0000 2018,0.791,0.0,0.209,50,BBC
50,0.4215,Sat Sep 15 17:03:02 +0000 2018,0.817,0.0,0.183,51,BBC
51,-0.5106,Sat Sep 15 16:05:05 +0000 2018,0.798,0.202,0.0,52,BBC
52,0.1007,Sat Sep 15 15:04:01 +0000 2018,0.92,0.0,0.08,53,BBC
53,-0.4404,Sat Sep 15 14:03:04 +0000 2018,0.879,0.121,0.0,54,BBC
54,0.0,Sat Sep 15 13:02:04 +0000 2018,1.0,0.0,0.0,55,BBC
55,0.6239,Sat Sep 15 11:02:08 +0000 2018,0.687,0.0,0.313,56,BBC
56,0.4588,Sat Sep 15 10:03:03 +0000 2018,0.842,0.0,0.158,57,BBC
57,0.0,Sat Sep 15 09:00:17 +0000 2018,1.0,0.0,0.0,58,BBC
58,-0.4404,Sat Sep 15 08:57:03 +0000 2018,0.838,0.162,0.0,59,BBC
59,-0.7184,Sat Sep 15 08:02:07 +0000 2018,0.727,0.273,0.0,60,BBC
60,0.5859,Sat Sep 15 07:32:04 +0000 2018,0.787,0.0,0.213,61,BBC
61,-0.2263,Sat Sep 15 07:03:03 +0000 2018,0.905,0.095,0.0,62,BBC
62,0.0,Fri Sep 14 20:02:09 +0000 2018,1.0,0.0,0.0,63,BBC
63,0.0,Fri Sep 14 18:03:05 +0000 2018,1.0,0.0,0.0,64,BBC
64,0.0,Fri Sep 14 16:14:47 +0000 2018,1.0,0.0,0.0,65,BBC
65,0.0,Fri Sep 14 16:02:00 +0000 2018,1.0,0.0,0.0,66,BBC
66,0.0,Fri Sep 14 15:02:09 +0000 2018,1.0,0.0,0.0,67,BBC
67,0.34,Fri Sep 14 14:45:34 +0000 2018,0.76,0.092,0.148,68,BBC
68,0.3612,Fri Sep 14 13:57:04 +0000 2018,0.889,0.0,0.111,69,BBC
69,0.0,Fri Sep 14 13:02:05 +0000 2018,1.0,0.0,0.0,70,BBC
70,0.0,Fri Sep 14 11:03:02 +0000 2018,1.0,0.0,0.0,71,BBC
71,-0.4767,Fri Sep 14 10:03:04 +0000 2018,0.806,0.194,0.0,72,BBC
72,0.0,Fri Sep 14 09:15:42 +0000 2018,1.0,0.0,0.0,73,BBC
73,0.0,Fri Sep 14 09:04:05 +0000 2018,1.0,0.0,0.0,74,BBC
74,-0.0935,Fri Sep 14 08:03:01 +0000 2018,0.742,0.137,0.121,75,BBC
75,-0.4588,Fri Sep 14 07:32:01 +0000 2018,0.857,0.143,0.0,76,BBC
76,0.0,Thu Sep 13 19:08:05 +0000 2018,1.0,0.0,0.0,77,BBC
77,0.6114,Thu Sep 13 17:04:06 +0000 2018,0.6,0.0,0.4,78,BBC
78,0.4199,Thu Sep 13 16:03:14 +0000 2018,0.872,0.0,0.128,79,BBC
79,0.457,Thu Sep 13 16:03:03 +0000 2018,0.688,0.113,0.199,80,BBC
80,0.3818,Thu Sep 13 15:03:07 +0000 2018,0.822,0.0,0.178,81,BBC
81,0.8104,Thu Sep 13 14:03:03 +0000 2018,0.527,0.115,0.358,82,BBC
82,0.5994,Thu Sep 13 11:02:03 +0000 2018,0.822,0.0,0.178,83,BBC
83,0.0,Thu Sep 13 10:30:00 +0000 2018,1.0,0.0,0.0,84,BBC
84,0.5106,Thu Sep 13 09:04:08 +0000 2018,0.612,0.116,0.272,85,BBC
85,0.5719,Thu Sep 13 08:04:03 +0000 2018,0.73,0.0,0.27,86,BBC
86,0.4688,Thu Sep 13 07:31:07 +0000 2018,0.831,0.0,0.169,87,BBC
87,0.6369,Thu Sep 13 06:59:04 +0000 2018,0.698,0.0,0.302,88,BBC
88,0.6114,Thu Sep 13 06:03:01 +0000 2018,0.826,0.0,0.174,89,BBC
89,0.9136,Wed Sep 12 19:03:07 +0000 2018,0.542,0.0,0.458,90,BBC
90,0.1511,Wed Sep 12 17:03:07 +0000 2018,0.671,0.146,0.183,91,BBC
91,0.3612,Wed Sep 12 16:04:01 +0000 2018,0.828,0.0,0.172,92,BBC
92,-0.25,Wed Sep 12 15:02:02 +0000 2018,0.854,0.093,0.053,93,BBC
93,-0.296,Wed Sep 12 14:03:05 +0000 2018,0.742,0.152,0.105,94,BBC
94,0.5574,Wed Sep 12 13:08:06 +0000 2018,0.841,0.0,0.159,95,BBC
95,0.5719,Wed Sep 12 12:29:07 +0000 2018,0.783,0.0,0.217,96,BBC
96,0.2975,Wed Sep 12 11:32:05 +0000 2018,0.784,0.0,0.216,97,BBC
97,-0.4767,Wed Sep 12 10:14:06 +0000 2018,0.871,0.129,0.0,98,BBC
98,0.4215,Wed Sep 12 09:15:11 +0000 2018,0.865,0.0,0.135,99,BBC
99,0.0,Wed Sep 12 09:02:01 +0000 2018,1.0,0.0,0.0,100,BBC
100,-0.2263,Sun Sep 16 23:48:59 +0000 2018,0.909,0.091,0.0,101,CBS
101,0.0,Sun Sep 16 14:33:46 +0000 2018,1.0,0.0,0.0,102,CBS
102,-0.4322,Sat Sep 15 16:00:01 +0000 2018,0.771,0.159,0.07,103,CBS
103,-0.2481,Fri Sep 14 18:22:59 +0000 2018,0.571,0.248,0.181,104,CBS
104,0.0,Thu Sep 13 20:52:06 +0000 2018,1.0,0.0,0.0,105,CBS
105,0.0,Thu Sep 13 20:28:06 +0000 2018,1.0,0.0,0.0,106,CBS
106,0.4753,Thu Sep 13 18:06:49 +0000 2018,0.699,0.083,0.218,107,CBS
107,0.0,Mon Sep 10 17:06:16 +0000 2018,1.0,0.0,0.0,108,CBS
108,-0.2263,Sun Sep 09 23:36:09 +0000 2018,0.917,0.083,0.0,109,CBS
109,0.6705,Sun Sep 09 14:00:00 +0000 2018,0.718,0.0,0.282,110,CBS
110,0.4215,Sat Sep 08 16:20:43 +0000 2018,0.851,0.0,0.149,111,CBS
111,0.0,Sat Sep 08 00:00:00 +0000 2018,1.0,0.0,0.0,112,CBS
112,-0.5411,Fri Sep 07 23:15:09 +0000 2018,0.712,0.196,0.092,113,CBS
113,0.0,Fri Sep 07 21:50:51 +0000 2018,1.0,0.0,0.0,114,CBS
114,-0.296,Thu Sep 06 22:10:49 +0000 2018,0.879,0.121,0.0,115,CBS
115,0.4753,Thu Sep 06 19:00:01 +0000 2018,0.808,0.0,0.192,116,CBS
116,0.0,Wed Sep 05 21:00:00 +0000 2018,1.0,0.0,0.0,117,CBS
117,0.3612,Wed Sep 05 17:32:40 +0000 2018,0.889,0.0,0.111,118,CBS
118,0.6908,Wed Sep 05 16:48:09 +0000 2018,0.467,0.0,0.533,119,CBS
119,0.4215,Tue Sep 04 20:34:26 +0000 2018,0.865,0.0,0.135,120,CBS
120,-0.2263,Sun Sep 16 23:48:59 +0000 2018,0.909,0.091,0.0,121,CBS
121,0.0,Sun Sep 16 14:33:46 +0000 2018,1.0,0.0,0.0,122,CBS
122,-0.4322,Sat Sep 15 16:00:01 +0000 2018,0.771,0.159,0.07,123,CBS
123,-0.2481,Fri Sep 14 18:22:59 +0000 2018,0.571,0.248,0.181,124,CBS
124,0.0,Thu Sep 13 20:52:06 +0000 2018,1.0,0.0,0.0,125,CBS
125,0.0,Thu Sep 13 20:28:06 +0000 2018,1.0,0.0,0.0,126,CBS
126,0.4753,Thu Sep 13 18:06:49 +0000 2018,0.699,0.083,0.218,127,CBS
127,0.0,Mon Sep 10 17:06:16 +0000 2018,1.0,0.0,0.0,128,CBS
128,-0.2263,Sun Sep 09 23:36:09 +0000 2018,0.917,0.083,0.0,129,CBS
129,0.6705,Sun Sep 09 14:00:00 +0000 2018,0.718,0.0,0.282,130,CBS
130,0.4215,Sat Sep 08 16:20:43 +0000 2018,0.851,0.0,0.149,131,CBS
131,0.0,Sat Sep 08 00:00:00 +0000 2018,1.0,0.0,0.0,132,CBS
132,-0.5411,Fri Sep 07 23:15:09 +0000 2018,0.712,0.196,0.092,133,CBS
